Borough,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Bronx,2015-16,241986,15081,18952,20013,19554,18695,18189,17761,16603,16395,16392,18969,17155,13806,14421,116750,0.482,125236,0.518,10754,0.044,68436,0.283,149372,0.617,3275,0.014,10149,0.042,54745,0.226,38372,0.159,198581,0.821,0.778
Bronx,2016-17,241776,14825,17974,19579,19611,18943,18505,17824,17207,16610,16436,18551,17140,13948,14623,116584,0.482,125190,0.518,11109,0.046,66913,0.277,149741,0.619,3632,0.015,10381,0.043,55462,0.229,41129,0.17,197520,0.817,0.774
Bronx,2017-18,239955,14948,17812,18598,19008,18940,18535,18173,17152,17039,16604,17860,16643,14038,14605,115867,0.483,124084,0.517,11458,0.048,65599,0.273,148849,0.62,3518,0.015,10531,0.044,55719,0.232,41316,0.172,208334,0.868,0.857
Bronx,2018-19,236267,15105,17259,18071,17962,18318,18426,18026,17405,16921,16833,17118,16289,13804,14730,114014,0.483,122253,0.517,11608,0.049,63949,0.271,146742,0.621,3749,0.016,10219,0.043,55847,0.236,40055,0.17,203040,0.859,0.854
Bronx,2019-20,235448,17990,17103,17680,17598,17462,17981,18216,17498,17260,16785,17243,15699,13611,13322,113952,0.484,121496,0.516,11739,0.05,63136,0.268,145870,0.62,4700,0.02,10003,0.042,54176,0.23,37502,0.159,200336,0.851,0.86
Brooklyn,2015-16,342119,23663,26013,27347,27065,26426,24958,24474,23346,22931,22892,25664,25496,20030,21814,165555,0.484,176564,0.516,52527,0.154,130298,0.381,95544,0.279,6247,0.018,57503,0.168,64433,0.188,40969,0.12,243916,0.713,0.641
Brooklyn,2016-17,344408,24126,25680,26405,26928,26474,25928,24746,24154,23291,22933,25423,25203,21052,22065,166334,0.483,178072,0.517,54910,0.159,127475,0.37,95690,0.278,6893,0.02,59440,0.173,66309,0.193,44335,0.129,244956,0.711,0.632
Brooklyn,2017-18,342622,23277,25578,25928,25812,26253,25851,25690,24166,23883,23168,25220,24751,20692,22353,165532,0.483,177070,0.517,55732,0.163,123782,0.361,95225,0.278,7314,0.021,60569,0.177,67444,0.197,44390,0.13,261947,0.765,0.737
Brooklyn,2018-19,339985,24104,24074,25562,25159,25060,25561,25307,25044,23912,23663,25112,24739,20476,22212,164322,0.483,175662,0.517,56134,0.165,119917,0.353,94884,0.279,7788,0.023,61262,0.18,68086,0.2,42678,0.126,255263,0.751,0.728
Brooklyn,2019-20,342332,28420,24224,24232,24979,24615,24533,25172,24574,24714,23736,25329,24489,20942,22373,165538,0.484,176794,0.516,57027,0.167,117272,0.343,96403,0.282,9498,0.028,62132,0.181,66787,0.195,41273,0.121,250622,0.732,0.733
Manhattan,2015-16,177179,8592,11703,12050,11748,11486,10794,10699,10729,10497,10517,18730,18088,15380,16166,89848,0.507,87331,0.493,21341,0.12,42389,0.239,80479,0.454,4929,0.028,28041,0.158,34987,0.197,18857,0.106,114836,0.648,0.608
Manhattan,2016-17,178383,8478,11480,11795,11721,11446,11179,10745,11026,10650,10615,19240,18049,15820,16139,90298,0.506,88083,0.494,21440,0.12,42294,0.237,80223,0.45,5648,0.032,28778,0.161,36271,0.203,19358,0.109,114277,0.641,0.598
Manhattan,2017-18,177752,8365,11237,11538,11454,11533,11173,11146,11043,10819,10725,18559,18309,15732,16119,89999,0.506,87728,0.494,21188,0.119,41303,0.232,79621,0.448,6096,0.034,29544,0.166,37135,0.209,19089,0.107,120957,0.68,0.673
Manhattan,2018-19,177512,8922,10988,11241,11123,11168,11228,10986,11320,11018,10891,18459,17872,16130,16166,89756,0.506,87755,0.494,21071,0.119,40507,0.228,79171,0.446,6679,0.038,30084,0.169,38063,0.214,18102,0.102,118397,0.667,0.665
Manhattan,2019-20,180636,11201,11015,10884,11024,10964,10931,11021,11162,11267,11078,18339,17737,15948,18065,91347,0.506,89289,0.494,21308,0.118,40967,0.227,79931,0.442,7787,0.043,30643,0.17,38290,0.212,17097,0.095,117365,0.65,0.671
Queens,2015-16,306965,20342,23011,23523,23632,23831,22559,21979,21522,21297,20931,23216,25157,17826,18139,147212,0.48,159753,0.52,85581,0.279,57479,0.187,115544,0.376,8037,0.026,40324,0.131,51821,0.169,40984,0.134,207963,0.677,0.519
Queens,2016-17,310741,20983,22763,23431,23233,23310,23686,22476,22046,21637,21558,23193,25193,19006,18226,149073,0.48,161668,0.52,87534,0.282,56609,0.182,117008,0.377,9208,0.03,40382,0.13,53236,0.171,44828,0.144,207432,0.668,0.502
Queens,2017-18,309302,20946,22434,22767,22911,22854,22933,23384,22039,21826,21740,23257,24541,18815,18855,148591,0.48,160701,0.52,87556,0.283,55101,0.178,116896,0.378,10002,0.032,39747,0.129,54174,0.175,44773,0.145,226458,0.732,0.658
Queens,2018-19,307114,21609,21936,22376,22254,22381,22540,22846,22748,21884,21801,23084,24310,18298,19047,147355,0.48,159759,0.52,86907,0.283,53718,0.175,116969,0.381,10513,0.034,39007,0.127,54805,0.178,43773,0.143,218554,0.712,0.652
Queens,2019-20,305623,23558,21717,21874,22006,21774,22039,22332,22283,22601,21918,22989,23928,18260,18344,146795,0.48,158828,0.52,86094,0.282,52190,0.171,117619,0.385,11450,0.037,38270,0.125,53883,0.176,42260,0.138,214449,0.702,0.66
Staten Island,2015-16,65714,4169,4707,4871,4931,4871,4787,4668,4598,4682,4673,5144,4958,4460,4195,31650,0.482,34064,0.518,5445,0.083,9132,0.139,18463,0.281,1226,0.019,31448,0.479,16510,0.251,3324,0.051,36400,0.554,0.439
Staten Island,2016-17,65924,4141,4620,4798,4786,4877,4887,4772,4552,4590,4741,5389,5029,4425,4317,31689,0.481,34235,0.519,5832,0.088,9044,0.137,18830,0.286,1396,0.021,30822,0.468,17069,0.259,3816,0.058,36800,0.558,0.436
Staten Island,2017-18,65703,3992,4527,4747,4793,4783,4875,4884,4714,4558,4579,5166,5180,4439,4466,31738,0.483,33959,0.517,6348,0.097,8893,0.135,18976,0.289,1460,0.022,30026,0.457,17438,0.265,4093,0.062,38787,0.59,0.533
Staten Island,2018-19,65623,4164,4370,4658,4707,4779,4755,4879,4772,4716,4560,5000,4864,4809,4590,31756,0.484,33867,0.516,7056,0.108,8684,0.132,19214,0.293,1658,0.025,29011,0.442,17696,0.27,4207,0.064,38749,0.59,0.537
Staten Island,2019-20,67829,6311,4528,4501,4691,4740,4803,4772,4733,4796,4730,5090,4949,4694,4491,32732,0.483,35097,0.517,7992,0.118,8743,0.129,20074,0.296,1698,0.025,29322,0.432,17847,0.263,4254,0.063,39111,0.577,0.547
